,ip,nb_www,nb_com,nb_dslash,http_in_path,punycode,port,tld_in_path,tld_in_subdomain,abnormal_subdomain,nb_subdomains,prefix_suffix,random_domain,shortening_service,nb_external_redirection,length_words_raw,char_repeat,shortest_words_raw,shortest_word_host,shortest_word_path,longest_words_raw,longest_word_host,longest_word_path,avg_words_raw,avg_word_host,avg_word_path,phish_hints,brand_in_subdomain,brand_in_path,suspecious_tld,statistical_report,nb_hyperlinks,ratio_intHyperlinks,ratio_extHyperlinks,nb_extCSS,ratio_extRedirection,ratio_extErrors,login_form,external_favicon,ratio_intMedia,ratio_extMedia,popup_window,safe_anchor,empty_title,domain_in_title,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,len_url,len_hostname,qty_points,qty_hyphen,qty_at_sign,qty_question_mark,qty_ampersand,qty_equal_sign,qty_underscore,qty_porcentage,qty_back_slash,qty_colon,qty_comma,qty_semicolon,qty_dollar_sign,is_https,numbers_url_ratio,numbers_hostname_ratio
4811,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,6,3,2,3,2,12,12,11,6.0,7.5,5.25,2,0,0,0,0,4,1.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,100.0,0,1,0,0,302,1523,0,0,1,0,52,20,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0.0,0.0
5861,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,2,3,2,9,9,7,5.375,6.333333333,4.8,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,1,0,491,9379,4068,0,1,5,61,25,4,0,0,0,0,0,2,0,4,1,0,0,0,0,0.13114754098360656,0.0
8667,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,9,5,3,3,3,32,7,32,9.444444444,5.25,12.8,0,0,0,0,0,31,0.032258065,0.967741935,0,0.1,0.033333333,0,0,0.0,100.0,0,0.0,0,0,1,0,79,1016,1211946,0,1,2,104,28,4,1,0,0,0,0,0,0,6,1,0,0,0,0,0.25,0.0
1093,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,6,2,2,10,2,16,16,10,7.666666667,13.0,5.0,0,0,0,0,0,101,0.633663366,0.366336634,1,0.027027027,0.027027027,0,1,5.263157895,94.73684211,0,84.44444444,0,1,0,0,133,7616,2190,0,0,5,62,31,2,2,0,0,0,0,0,0,4,1,0,0,0,0,0.0,0.0
2792,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5,5,0,5,5,0,5.0,5.0,0.0,0,0,0,0,0,233,0.961373391,0.038626609,0,0.0,0.0,0,0,92.59259259,7.407407407,0,82.75862069,0,1,1,0,87,3566,305533,0,0,3,19,12,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0.0,0.0
6480,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,6,4,2,3,2,10,7,10,5.333333333,5.666666667,5.0,0,0,0,0,0,252,0.773809524,0.226190476,0,0.263157895,0.280701754,0,1,100.0,0.0,0,28.57142857,0,0,0,0,200,7836,600,0,0,6,49,23,2,2,0,0,0,0,0,0,4,1,0,0,0,1,0.0,0.0
1835,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,8,3,3,3,4,10,10,7,5.75,6.5,5.5,0,0,0,0,0,197,0.700507614,0.299492386,3,0.152542373,0.033898305,0,1,93.75,6.25,0,35.9375,0,1,1,0,984,5224,137,0,0,8,65,18,2,3,0,0,0,0,1,0,4,1,0,0,0,1,0.0,0.0
9360,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,3,3,3,7,7,5,4.6,5.0,4.333333333,1,0,0,0,0,12,0.333333333,0.666666667,0,0.0,0.25,0,1,0.0,0.0,0,0.0,0,1,1,0,0,4790,113061,0,1,4,42,18,4,0,0,0,0,0,0,0,4,1,0,0,0,1,0.0,0.0
8284,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,3,0,9,9,0,6.0,6.0,0.0,0,0,0,0,1,7,0.857142857,0.142857143,0,1.0,0.0,0,0,0.0,0.0,0,50.0,0,0,1,0,549,181,0,0,0,2,25,17,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0.0,0.0
8081,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,11,13,1,1,1,38,7,38,11.36363636,4.25,15.42857143,0,0,0,0,0,21,0.19047619,0.80952381,1,0.176470588,0.0,0,1,20.0,80.0,0,25.0,0,1,1,0,228,5616,0,0,1,5,146,24,4,0,0,0,0,0,3,0,6,1,0,0,0,0,0.13013698630136986,0.08333333333333333
10414,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,3,3,0,10,10,0,5.333333333,5.333333333,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0.0,1,1,0,0,363,1,0,0,1,0,30,22,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0.06666666666666667,0.09090909090909091
2456,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,3,3,0,17,17,0,10.0,10.0,0.0,0,0,0,0,0,30,0.366666667,0.633333333,2,0.315789474,0.0,0,1,0.0,0.0,0,13.33333333,0,1,0,0,454,3198,1863493,0,0,4,33,25,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0.0,0.0
